gene,importance_score
ENSG00000173546,0.13975119472956862
ENSG00000288784,0.13111175350748336
ENSG00000198049,0.12874405037515077
ENSG00000140993,0.12725752785562858
ENSG00000225180,0.12050374251751703
ENSG00000129682,0.11777543916768674
ENSG00000163554,0.11608834708392508
ENSG00000169551,0.1147653993485015
ENSG00000254827,0.1111096753534064
ENSG00000115841,0.10994523396218107
ENSG00000145002,0.10642485420416417
ENSG00000187498,0.10622857290259242
ENSG00000120688,0.10481125040253222
ENSG00000182853,0.10449581473113892
ENSG00000174527,0.1036259981711634
ENSG00000279048,0.09999028905498082
ENSG00000236444,0.09864746452244773
ENSG00000137860,0.09852933432561772
ENSG00000279852,0.09778258010194618
ENSG00000164175,0.0974010596148855
ENSG00000172742,0.09726794311586782
ENSG00000274600,0.09723578924461161
ENSG00000124215,0.09509714462687995
ENSG00000127561,0.09386505226432337
ENSG00000138075,0.08668013606392784
ENSG00000170266,0.08538036641459376
ENSG00000178928,0.08177716670311949
ENSG00000165806,0.07944050861786893
ENSG00000211647,0.07873680248381033
ENSG00000100890,0.07806060012951786
ENSG00000204406,0.07661453214535638
ENSG00000226742,0.07392041276588977
ENSG00000087128,0.07274466384292391
ENSG00000223601,0.07265086425902084
ENSG00000119283,0.06999804409978927
ENSG00000263429,0.06834111583473079
ENSG00000196632,0.0671168004502329
ENSG00000100056,0.06676778975284944
ENSG00000188037,0.06644247314491486
ENSG00000183605,0.06623390053509824
ENSG00000152705,0.06594302733432258
ENSG00000257207,0.06554060173163158
ENSG00000259066,0.06551776913161664
ENSG00000142530,0.06539206422909034
ENSG00000275163,0.064690090301156
ENSG00000186075,0.061479325866718046
ENSG00000127774,0.061314428321201056
ENSG00000100625,0.061059843616956336
ENSG00000280115,0.05994382929065908
ENSG00000171942,0.05777085063152815
ENSG00000164900,0.0551034875809304
ENSG00000177106,0.05369125332617858
ENSG00000124449,0.05309859310576347
ENSG00000275111,0.05193864782710729
ENSG00000168938,0.051244472523367814
ENSG00000280312,0.05101870799395321
ENSG00000135973,0.04938587162887983
ENSG00000101057,0.047356927171954256
ENSG00000286001,0.041526450558983664
ENSG00000128242,0.03770657679745418
ENSG00000116117,0.035423992143318477
ENSG00000087303,0.034566212343164746
ENSG00000166407,0.03359503374881288
ENSG00000165188,0.03271576625221635
ENSG00000100479,0.03121698403984987
ENSG00000257529,0.02859713040962259
ENSG00000120160,0.02610923797222916
ENSG00000173705,0.025068387021437672
ENSG00000103175,0.024097261711741702
ENSG00000214694,0.02085238223428883
ENSG00000134193,0.019971255631393087
ENSG00000105875,0.017801413255749198
ENSG00000273590,0.01676730928957429
ENSG00000094661,0.015574900387612372
ENSG00000021826,0.014773702120195725
ENSG00000279716,0.013635841186645617
ENSG00000180777,0.012391964766962815
ENSG00000129170,0.012040588987710196
ENSG00000280277,0.01196617920074201
ENSG00000160321,0.005903985151125462
