gene_id,importance_score
ENSG00000140993,0.5425705204506526
ENSG00000173546,0.5227460024503925
ENSG00000215218,0.501045163084379
ENSG00000129682,0.498681882498525
ENSG00000145002,0.4893236689223369
ENSG00000196632,0.48046606213728216
ENSG00000236444,0.4784985714820821
ENSG00000169551,0.46446176071179374
ENSG00000274600,0.4629778384753064
ENSG00000115841,0.45575059280553826
ENSG00000182853,0.4538417490441873
ENSG00000198049,0.4532047518598198
ENSG00000269404,0.45270317642406505
ENSG00000165806,0.42893568595315745
ENSG00000174527,0.42177097419283893
ENSG00000172742,0.4200740702618188
ENSG00000127561,0.4131941292583344
ENSG00000124215,0.40948895481114417
ENSG00000259066,0.3999069099650447
ENSG00000215126,0.3940732322019982
ENSG00000288784,0.38793722696302574
ENSG00000225180,0.3875967802630039
ENSG00000279852,0.38730786852919
ENSG00000254827,0.3813423609747212
ENSG00000183605,0.3808822559274359
ENSG00000188037,0.3685401887413161
ENSG00000126249,0.349421776322926
ENSG00000120688,0.34930831556661274
ENSG00000141449,0.3452452585537188
ENSG00000100625,0.34022408456394565
ENSG00000178928,0.3345688046390788
ENSG00000280312,0.3324663381424252
ENSG00000170266,0.33233614018748114
ENSG00000135973,0.32943295970639574
ENSG00000137860,0.3282732955011983
ENSG00000101057,0.3270679044350822
ENSG00000279048,0.3268644714193818
ENSG00000187498,0.3233700878459736
ENSG00000034971,0.31784963858504856
ENSG00000138075,0.31713760304573596
ENSG00000139117,0.3164854107963023
ENSG00000163554,0.31253021216749904
ENSG00000223510,0.30942440013041717
ENSG00000119283,0.30218122731628694
ENSG00000279971,0.30212785606904163
ENSG00000173679,0.2997409026443219
ENSG00000127774,0.2994128258777372
ENSG00000172037,0.29752309720419035
ENSG00000171942,0.2966404587970735
ENSG00000100344,0.29606852491041585
ENSG00000164900,0.2953300866971018
ENSG00000261210,0.29291145115069567
ENSG00000116117,0.29104082199217746
ENSG00000087128,0.28781147645503535
ENSG00000150510,0.2872491761823385
ENSG00000211647,0.28687462584115925
ENSG00000223601,0.2842433714389567
ENSG00000275111,0.2739545664417952
ENSG00000183206,0.27280270558758757
ENSG00000100890,0.2714011972915417
ENSG00000177106,0.266929561336385
ENSG00000184166,0.2647883815447736
ENSG00000101079,0.2626244962632301
ENSG00000117525,0.2529639613085342
ENSG00000123352,0.2487789454830444
ENSG00000142530,0.24760827745134578
ENSG00000120160,0.2405204379355729
ENSG00000173705,0.23736805529914276
ENSG00000226742,0.23500225634942667
ENSG00000158560,0.2339582857935111
ENSG00000177791,0.23071226992081512
ENSG00000164175,0.2284394340066936
ENSG00000166407,0.22589350354341145
ENSG00000211734,0.22372388062426068
ENSG00000173762,0.22184104607486405
ENSG00000163218,0.21896226035276456
ENSG00000186075,0.21049838512210792
ENSG00000129744,0.20962769458925812
ENSG00000280115,0.20657035017375686
ENSG00000204406,0.20371943960143524
ENSG00000184185,0.20201181062983067
ENSG00000286001,0.2019705774394346
ENSG00000168938,0.20092541521857896
ENSG00000128242,0.2006649735546926
ENSG00000263429,0.1964012864622569
ENSG00000205238,0.1959701693813704
ENSG00000103175,0.19174228697301443
ENSG00000021461,0.18975542055538228
ENSG00000275163,0.18651213545693504
ENSG00000152705,0.1799799074798359
ENSG00000103202,0.17911480241111283
ENSG00000160321,0.17203227861789377
ENSG00000069869,0.16609329917982085
ENSG00000257207,0.16575994398526722
ENSG00000257529,0.16430404318418781
ENSG00000256188,0.15927713250480352
ENSG00000138346,0.1541235718760916
ENSG00000100479,0.15086237730436808
ENSG00000180777,0.149300114694017
ENSG00000279716,0.14421571322378524
ENSG00000160181,0.1432344671757093
ENSG00000129170,0.14158858744479058
ENSG00000087303,0.14006673539424447
ENSG00000278942,0.13875798960349714
ENSG00000279205,0.13736939283576416
ENSG00000273590,0.13617198848208575
ENSG00000105875,0.13015127791988249
ENSG00000165188,0.12902325732333883
ENSG00000143387,0.1283870672023327
ENSG00000100056,0.12678169276111642
ENSG00000134640,0.12486051806855339
ENSG00000140104,0.12101640418601323
ENSG00000280277,0.11718468934753487
ENSG00000134193,0.09727141944415788
ENSG00000164743,0.0969353140283506
ENSG00000214694,0.09307261249209782
ENSG00000145975,0.09096280382641977
ENSG00000250506,0.08519273685655768
ENSG00000132170,0.07580538393971949
ENSG00000021826,0.06382988570857373
